,Player,link_of_player
0,Lionel Messi,https://fbref.com/en/players/d70ce98e/intl_cup/Lionel-Messi-International-Cup-Stats
1,Virgil van Dijk,https://fbref.com/en/players/e06683ca/intl_cup/Virgil-van-Dijk-International-Cup-Stats
2,Cristiano Ronaldo,https://fbref.com/en/players/dea698d9/intl_cup/Cristiano-Ronaldo-International-Cup-Stats
3,Sadio Mané,https://fbref.com/en/players/c691bfe2/intl_cup/Sadio-Mane-International-Cup-Stats
4,Mohamed Salah,https://fbref.com/en/players/e342ad68/intl_cup/Mohamed-Salah-International-Cup-Stats
5,Kylian Mbappé,https://fbref.com/en/players/42fd9c7f/intl_cup/Kylian-Mbappe-International-Cup-Stats
6,Alisson,https://fbref.com/en/players/7a2e46a8/intl_cup/Alisson-International-Cup-Stats
7,Robert Lewandowski,https://fbref.com/en/players/8d78e732/intl_cup/Robert-Lewandowski-International-Cup-Stats
8,Bernardo Silva,https://fbref.com/en/players/3eb22ec9/intl_cup/Bernardo-Silva-International-Cup-Stats
9,Riyad Mahrez,https://fbref.com/en/players/892d5bb1/intl_cup/Riyad-Mahrez-International-Cup-Stats
10,Frenkie de Jong,https://fbref.com/en/players/1bacc518/intl_cup/Frenkie-de-Jong-International-Cup-Stats
11,Raheem Sterling,https://fbref.com/en/players/b400bde0/intl_cup/Raheem-Sterling-International-Cup-Stats
12,Eden Hazard,https://fbref.com/en/players/a39bb753/intl_cup/Eden-Hazard-International-Cup-Stats
13,Kevin De Bruyne,https://fbref.com/en/players/e46012d4/intl_cup/Kevin-De-Bruyne-International-Cup-Stats
14,Matthijs de Ligt,https://fbref.com/en/players/d6e53a3a/intl_cup/Matthijs-de-Ligt-International-Cup-Stats
15,Sergio Agüero,https://fbref.com/en/players/4d034881/intl_cup/Sergio-Aguero-International-Cup-Stats
16,Roberto Firmino,https://fbref.com/en/players/4c370d81/intl_cup/Roberto-Firmino-International-Cup-Stats
17,Antoine Griezmann,https://fbref.com/en/players/df69b544/intl_cup/Antoine-Griezmann-International-Cup-Stats
18,Trent Alexander-Arnold,https://fbref.com/en/players/cd1acf9d/intl_cup/Trent-Alexander-Arnold-International-Cup-Stats
19,Pierre-Emerick Aubameyang,https://fbref.com/en/players/d5dd5f1f/intl_cup/Pierre-Emerick-Aubameyang-International-Cup-Stats
20,Dušan Tadić,https://fbref.com/en/players/2475dcc6/intl_cup/Dusan-Tadic-International-Cup-Stats
21,Son Heung-min,https://fbref.com/en/players/92e7e919/intl_cup/Son-Heung-min-International-Cup-Stats
22,Hugo Lloris,https://fbref.com/en/players/8f62b6ee/intl_cup/Hugo-Lloris-International-Cup-Stats
23,Kalidou Koulibaly,https://fbref.com/en/players/da974c7b/intl_cup/Kalidou-Koulibaly-International-Cup-Stats
24,Marc-André ter Stegen,https://fbref.com/en/players/6f51e382/intl_cup/Marc-Andre-ter-Stegen-International-Cup-Stats
25,Karim Benzema,https://fbref.com/en/players/70d74ece/intl_cup/Karim-Benzema-International-Cup-Stats
26,Georginio Wijnaldum,https://fbref.com/en/players/eb58eef0/intl_cup/Georginio-Wijnaldum-International-Cup-Stats
27,João Félix,https://fbref.com/en/players/8aafd64f/intl_cup/Joao-Felix-International-Cup-Stats
28,Marquinhos,https://fbref.com/en/players/d5f2f82b/intl_cup/Marquinhos-International-Cup-Stats
29,Donny van de Beek,https://fbref.com/en/players/50dc94ce/intl_cup/Donny-van-de-Beek-International-Cup-Stats
30,Luka Modrić,https://fbref.com/en/players/6025fab1/intl_cup/Luka-Modric-International-Cup-Stats
36,Raphaël Varane,https://fbref.com/en/players/9f8e9423/intl_cup/Raphael-Varane-International-Cup-Stats
39,Harry Kane,https://fbref.com/en/players/21a66f6a/intl_cup/Harry-Kane-International-Cup-Stats
40,N'Golo Kanté,https://fbref.com/en/players/b9fbae28/intl_cup/NGolo-Kante-International-Cup-Stats
41,Neymar,https://fbref.com/en/players/69384e5d/intl_cup/Neymar-International-Cup-Stats
42,Luis Suárez,https://fbref.com/en/players/a6154613/intl_cup/Luis-Suarez-International-Cup-Stats
43,Thibaut Courtois,https://fbref.com/en/players/1840e36d/intl_cup/Thibaut-Courtois-International-Cup-Stats
44,Paul Pogba,https://fbref.com/en/players/867239d3/intl_cup/Paul-Pogba-International-Cup-Stats
46,Gareth Bale,https://fbref.com/en/players/a58bb1e1/intl_cup/Gareth-Bale-International-Cup-Stats
49,Ivan Rakitić,https://fbref.com/en/players/89f951b5/intl_cup/Ivan-Rakitic-International-Cup-Stats
50,Sergio Ramos,https://fbref.com/en/players/08511d65/intl_cup/Sergio-Ramos-International-Cup-Stats
51,Edinson Cavani,https://fbref.com/en/players/527f063d/intl_cup/Edinson-Cavani-International-Cup-Stats
53,Marcelo,https://fbref.com/en/players/603116a7/intl_cup/Marcelo-International-Cup-Stats
55,Mario Mandžukić,https://fbref.com/en/players/afa0d4e0/intl_cup/Mario-Mandzukic-International-Cup-Stats
56,Jan Oblak,https://fbref.com/en/players/ee8508c0/intl_cup/Jan-Oblak-International-Cup-Stats
57,Diego Godín,https://fbref.com/en/players/fc4f85b1/intl_cup/Diego-Godin-International-Cup-Stats
58,Isco,https://fbref.com/en/players/a0b4bb3e/intl_cup/Isco-International-Cup-Stats
60,Kaká,https://fbref.com/en/players/b2d6ea70/intl_cup/Kaka-International-Cup-Stats
63,Didier Drogba,https://fbref.com/en/players/945dea33/intl_cup/Didier-Drogba-International-Cup-Stats
64,Andrea Pirlo,https://fbref.com/en/players/71c5f16f/intl_cup/Andrea-Pirlo-International-Cup-Stats
65,Ruud van Nistelrooy,https://fbref.com/en/players/80a30989/intl_cup/Ruud-van-Nistelrooy-International-Cup-Stats
66,Zlatan Ibrahimović,https://fbref.com/en/players/4cde5509/intl_cup/Zlatan-Ibrahimovic-International-Cup-Stats
67,Cesc Fàbregas,https://fbref.com/en/players/33508c78/intl_cup/Cesc-Fabregas-International-Cup-Stats
68,Robinho,https://fbref.com/en/players/f034613c/intl_cup/Robinho-International-Cup-Stats
69,Francesco Totti,https://fbref.com/en/players/ed75b6c7/intl_cup/Francesco-Totti-International-Cup-Stats
70,Frédéric Kanouté,https://fbref.com/en/players/1a24d5b6/intl_cup/Frederic-Kanoute-International-Cup-Stats
71,Ronaldinho,https://fbref.com/en/players/34edcab0/intl_cup/Ronaldinho-International-Cup-Stats
72,Steven Gerrard,https://fbref.com/en/players/caeb5442/intl_cup/Steven-Gerrard-International-Cup-Stats
73,Juan Román Riquelme,https://fbref.com/en/players/04381207/intl_cup/Juan-Roman-Riquelme-International-Cup-Stats
74,Dani Alves,https://fbref.com/en/players/c9e99e49/intl_cup/Dani-Alves-International-Cup-Stats
75,Filippo Inzaghi,https://fbref.com/en/players/27b041d6/intl_cup/Filippo-Inzaghi-International-Cup-Stats
76,Franck Ribéry,https://fbref.com/en/players/f61c7c4e/intl_cup/Franck-Ribery-International-Cup-Stats
77,Paolo Maldini,https://fbref.com/en/players/14323e81/intl_cup/Paolo-Maldini-International-Cup-Stats
78,Gianluigi Buffon,https://fbref.com/en/players/e40d028b/intl_cup/Gianluigi-Buffon-International-Cup-Stats
79,Petr Čech,https://fbref.com/en/players/71672fa0/intl_cup/Petr-Cech-International-Cup-Stats
80,Gennaro Gattuso,https://fbref.com/en/players/46b066b5/intl_cup/Gennaro-Gattuso-International-Cup-Stats
81,Thierry Henry,https://fbref.com/en/players/c0c5ee74/intl_cup/Thierry-Henry-International-Cup-Stats
82,Clarence Seedorf,https://fbref.com/en/players/e6af3cc7/intl_cup/Clarence-Seedorf-International-Cup-Stats
83,Fabio Cannavaro,https://fbref.com/en/players/51152527/intl_cup/Fabio-Cannavaro-International-Cup-Stats
84,Michael Essien,https://fbref.com/en/players/d6577282/intl_cup/Michael-Essien-International-Cup-Stats
85,Wayne Rooney,https://fbref.com/en/players/f07be45a/intl_cup/Wayne-Rooney-International-Cup-Stats
86,Iker Casillas,https://fbref.com/en/players/1ddbb0da/intl_cup/Iker-Casillas-International-Cup-Stats
87,Rogério Ceni,https://fbref.com/en/players/a737c150/intl_cup/Rogerio-Ceni-International-Cup-Stats
88,Guillermo Ochoa,https://fbref.com/en/players/1e9bde92/intl_cup/Guillermo-Ochoa-International-Cup-Stats
89,Dimitar Berbatov,https://fbref.com/en/players/f5781978/intl_cup/Dimitar-Berbatov-International-Cup-Stats
90,Samuel Eto'o,https://fbref.com/en/players/06420c93/intl_cup/Samuel-Etoo-International-Cup-Stats
91,Ryan Giggs,https://fbref.com/en/players/561de8d0/intl_cup/Ryan-Giggs-International-Cup-Stats
92,Carlos Tevez,https://fbref.com/en/players/c1a26d43/intl_cup/Carlos-Tevez-International-Cup-Stats
93,Robin van Persie,https://fbref.com/en/players/3fcab3a8/intl_cup/Robin-van-Persie-International-Cup-Stats
