,Player,Season,Age,Squad,Lg_Rank,Comp,Matches,Starts,Minutes,Goals,Assists,penalty_kicks_made,penalty_kicks_attempted,yellow_cards,red_cards,goals_per_game,assists_per_game
0,Lionel Messi,2004-2005,17,Barcelona,R16,1. Champions Lg,1,1,90,0,0,0,0,0,0,0.00,0.00
1,Lionel Messi,2005-2006,18,Barcelona,W,1. Champions Lg,6,4,322,1,1,0,0,0,0,0.28,0.28
2,Lionel Messi,2006-2007,19,Barcelona,R16,1. Champions Lg,5,4,385,1,0,0,0,1,0,0.23,0.00
3,Lionel Messi,2007-2008,20,Barcelona,SF,1. Champions Lg,9,9,728,6,2,1,1,2,0,0.74,0.25
4,Lionel Messi,2008-2009,21,Barcelona,W,1. Champions Lg,12,10,927,9,5,0,0,1,0,0.87,0.49
5,Lionel Messi,2009-2010,22,Barcelona,SF,1. Champions Lg,11,11,987,8,0,0,0,0,0,0.73,0.00
6,Lionel Messi,2010-2011,23,Barcelona,W,1. Champions Lg,13,11,"1,046",12,3,1,2,0,0,1.03,0.26
7,Lionel Messi,2011-2012,24,Barcelona,SF,1. Champions Lg,11,11,990,14,5,4,5,2,0,1.27,0.45
8,Lionel Messi,2012-2013,25,Barcelona,SF,1. Champions Lg,11,9,826,8,2,0,0,0,0,0.87,0.22
9,Lionel Messi,2013-2014,26,Barcelona,QF,1. Champions Lg,7,7,630,8,0,2,2,0,0,1.14,0.00
10,Lionel Messi,2014-2015,27,Barcelona,W,1. Champions Lg,13,13,"1,147",10,6,0,1,1,0,0.78,0.47
11,Lionel Messi,2015-2016,28,Barcelona,QF,1. Champions Lg,7,7,630,6,1,1,1,1,0,0.86,0.14
12,Lionel Messi,2015-2016,28,Barcelona,1st,Super Cup,1,1,120,2,0,0,0,0,0,1.50,0.00
13,Lionel Messi,2016-2017,29,Barcelona,QF,1. Champions Lg,9,9,810,11,2,2,2,0,0,1.22,0.22
14,Lionel Messi,2017-2018,30,Barcelona,QF,1. Champions Lg,10,8,783,6,2,0,0,2,0,0.69,0.23
15,Lionel Messi,2018-2019,31,Barcelona,SF,1. Champions Lg,10,9,838,12,3,1,1,0,0,1.29,0.32
16,Lionel Messi,2019-2020,32,Barcelona,QF,1. Champions Lg,8,7,662,3,3,0,0,2,0,0.41,0.41
17,Lionel Messi,2020-2021,33,Barcelona,R16,1. Champions Lg,4,4,360,3,2,3,3,0,0,0.75,0.50
