,Player,Season,Age,Position,Squad,Country,Comp,Lg_Rank,Matches,Starts,Minutes,Goals,Assists,penalty_kicks_made,penalty_kicks_attempted,yellow_cards,red_cards,goals_per_game,assists_per_game,Lg_Rank_Cups,Comp_Cups,Matches_Cups,Starts_Cups,Minutes_Cups,Goals_Cups,Assists_Cups,penalty_kicks_made_Cups,penalty_kicks_attempted_Cups,yellow_cards_Cups,red_cards_Cups,goals_per_game_Cups,assists_per_game_Cups,Ballon_D'or_Rank,Ballon_D'or_Percentage_Of_Votes,Start_Season,End_Season,Top_3
0,Lionel Messi,2005-2006,18,FW,Barcelona,es ESP,1. La Liga,1,17.0,11,911.0,6.0,3.0,0.0,0.0,2.0,0.0,0.59,0.3,1,1. Champions Lg,6,4,322.0,1.0,1.0,0.0,0.0,0.0,0.0,0.28,0.28,0,0.0,2005,2006,0
1,Lionel Messi,2006-2007,19,FW,Barcelona,es ESP,1. La Liga,2,26.0,23,1983.0,14.0,3.0,0.0,0.0,2.0,0.0,0.64,0.14,16,1. Champions Lg,5,4,385.0,1.0,0.0,0.0,0.0,1.0,0.0,0.23,0.0,3,17.67,2006,2007,1
2,Lionel Messi,2007-2008,20,FW,Barcelona,es ESP,1. La Liga,3,27.0,23,1973.0,10.0,12.0,4.0,4.0,2.0,0.0,0.46,0.55,4,1. Champions Lg,9,9,728.0,6.0,2.0,1.0,1.0,2.0,0.0,0.74,0.25,2,19.54,2007,2008,1
3,Lionel Messi,2008-2009,21,FW,Barcelona,es ESP,1. La Liga,1,31.0,27,2516.0,23.0,11.0,3.0,4.0,2.0,0.0,0.82,0.39,1,1. Champions Lg,12,10,927.0,9.0,5.0,0.0,0.0,1.0,0.0,0.87,0.49,1,32.85,2008,2009,1
4,Lionel Messi,2009-2010,22,FW,Barcelona,es ESP,1. La Liga,1,35.0,30,2805.0,34.0,9.0,1.0,1.0,3.0,0.0,1.09,0.29,4,1. Champions Lg,11,11,987.0,8.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,1,22.65,2009,2010,1
5,Lionel Messi,2010-2011,23,FW,Barcelona,es ESP,1. La Liga,1,33.0,31,2858.0,31.0,19.0,4.0,4.0,3.0,0.0,0.98,0.6,1,1. Champions Lg,13,11,1046.0,12.0,3.0,1.0,2.0,0.0,0.0,1.03,0.26,1,47.88,2010,2011,1
6,Lionel Messi,2011-2012,24,FW,Barcelona,es ESP,1. La Liga,2,37.0,36,3270.0,50.0,16.0,10.0,11.0,6.0,0.0,1.38,0.44,4,1. Champions Lg,11,11,990.0,14.0,5.0,4.0,5.0,2.0,0.0,1.27,0.45,1,41.6,2011,2012,1
7,Lionel Messi,2012-2013,25,FW,Barcelona,es ESP,1. La Liga,1,32.0,28,2650.0,46.0,11.0,4.0,4.0,1.0,0.0,1.56,0.37,4,1. Champions Lg,11,9,826.0,8.0,2.0,0.0,0.0,0.0,0.0,0.87,0.22,2,24.72,2012,2013,1
8,Lionel Messi,2013-2014,26,FW,Barcelona,es ESP,1. La Liga,2,31.0,29,2501.0,28.0,11.0,7.0,8.0,2.0,0.0,1.01,0.4,8,1. Champions Lg,7,7,630.0,8.0,0.0,2.0,2.0,0.0,0.0,1.14,0.0,2,15.76,2013,2014,1
9,Lionel Messi,2014-2015,27,FW,Barcelona,es ESP,1. La Liga,1,38.0,37,3375.0,43.0,18.0,5.0,6.0,4.0,0.0,1.15,0.48,1,1. Champions Lg,13,13,1147.0,10.0,6.0,0.0,1.0,1.0,0.0,0.78,0.47,1,41.33,2014,2015,1
