,Player,Season,Age,Position,Squad,Country,Comp,Lg_Rank,Matches,Starts,Minutes,Goals,Assists,penalty_kicks_made,penalty_kicks_attempted,yellow_cards,red_cards,goals_per_game,assists_per_game
0,Lionel Messi,2004-2005,17,FW,Barcelona,es ESP,1. La Liga,1st,7,0,70,1,0,0,0,0,0,1.29,0.00
1,Lionel Messi,2005-2006,18,FW,Barcelona,es ESP,1. La Liga,1st,17,11,911,6,3,0,0,2,0,0.59,0.30
2,Lionel Messi,2006-2007,19,FW,Barcelona,es ESP,1. La Liga,2nd,26,23,"1,983",14,3,0,0,2,0,0.64,0.14
3,Lionel Messi,2007-2008,20,FW,Barcelona,es ESP,1. La Liga,3rd,27,23,"1,973",10,12,4,4,2,0,0.46,0.55
4,Lionel Messi,2008-2009,21,FW,Barcelona,es ESP,1. La Liga,1st,31,27,"2,516",23,11,3,4,2,0,0.82,0.39
5,Lionel Messi,2009-2010,22,FW,Barcelona,es ESP,1. La Liga,1st,35,30,"2,805",34,9,1,1,3,0,1.09,0.29
6,Lionel Messi,2010-2011,23,FW,Barcelona,es ESP,1. La Liga,1st,33,31,"2,858",31,19,4,4,3,0,0.98,0.60
7,Lionel Messi,2011-2012,24,FW,Barcelona,es ESP,1. La Liga,2nd,37,36,"3,270",50,16,10,11,6,0,1.38,0.44
8,Lionel Messi,2012-2013,25,FW,Barcelona,es ESP,1. La Liga,1st,32,28,"2,650",46,11,4,4,1,0,1.56,0.37
9,Lionel Messi,2013-2014,26,FW,Barcelona,es ESP,1. La Liga,2nd,31,29,"2,501",28,11,7,8,2,0,1.01,0.40
10,Lionel Messi,2014-2015,27,FW,Barcelona,es ESP,1. La Liga,1st,38,37,"3,375",43,18,5,6,4,0,1.15,0.48
11,Lionel Messi,2015-2016,28,FW,Barcelona,es ESP,1. La Liga,1st,33,31,"2,729",26,16,3,6,3,0,0.86,0.53
12,Lionel Messi,2016-2017,29,FW,Barcelona,es ESP,1. La Liga,2nd,34,32,"2,828",37,9,6,7,6,0,1.18,0.29
13,Lionel Messi,2017-2018,30,FW,Barcelona,es ESP,1. La Liga,1st,36,32,"3,002",34,12,2,4,3,0,1.02,0.36
14,Lionel Messi,2018-2019,31,FW,Barcelona,es ESP,1. La Liga,1st,34,29,"2,713",36,13,4,5,3,0,1.19,0.43
15,Lionel Messi,2019-2020,32,FW,Barcelona,es ESP,1. La Liga,2nd,33,32,"2,880",25,21,5,5,4,0,0.78,0.66
16,Lionel Messi,2020-2021,33,FW,Barcelona,es ESP,1. La Liga,3rd,17,16,"1,459",11,2,2,3,3,0,0.68,0.12
17,Virgil van Dijk,2010-2011,19,DF,Groningen,nl NED,1. Dutch Eredivisie,5th,2,0,33,0,0,0,0,0,0,0.00,0.00
18,Virgil van Dijk,2011-2012,20,DF,Groningen,nl NED,1. Dutch Eredivisie,14th,23,21,"1,964",3,1,0,0,6,0,0.14,0.05
19,Virgil van Dijk,2012-2013,21,DF,Groningen,nl NED,1. Dutch Eredivisie,7th,32,32,"2,780",2,3,0,0,5,1,0.06,0.10
20,Virgil van Dijk,2013-2014,22,DF,Celtic,sco SCO,1. Premiership,1st,36,35,"3,072",5,0,0,0,2,1,0.15,0.00
21,Virgil van Dijk,2014-2015,23,DF,Celtic,sco SCO,1. Premiership,1st,35,35,"3,150",4,5,0,0,3,0,0.11,0.14
22,Virgil van Dijk,2015-2016,24,DF,Celtic,sco SCO,1. Premiership,1st,5,5,450,0,0,0,0,0,0,0.00,0.00
23,Virgil van Dijk,2015-2016,24,DF,Southampton,eng ENG,1. Premier League,6th,34,34,"3,060",3,0,0,0,2,0,0.09,0.00
24,Virgil van Dijk,2016-2017,25,DF,Southampton,eng ENG,1. Premier League,8th,21,21,"1,853",1,0,0,0,4,2,0.05,0.00
25,Virgil van Dijk,2017-2018,26,DF,Southampton,eng ENG,1. Premier League,17th,12,11,994,0,0,0,0,0,0,0.00,0.00
26,Virgil van Dijk,2017-2018,26,DF,Southampton,eng ENG,Jr. PL2 — Div. 2,6th,2,2,180,1,0,0,0,0,0,0.50,0.00
27,Virgil van Dijk,2017-2018,26,DF,Liverpool,eng ENG,1. Premier League,4th,14,14,"1,260",0,0,0,0,1,0,0.00,0.00
28,Virgil van Dijk,2018-2019,27,DF,Liverpool,eng ENG,1. Premier League,2nd,38,38,"3,384",4,2,0,0,1,0,0.11,0.05
29,Virgil van Dijk,2019-2020,28,DF,Liverpool,eng ENG,1. Premier League,1st,38,38,"3,420",5,1,0,0,1,0,0.13,0.03
30,Virgil van Dijk,2020-2021,29,DF,Liverpool,eng ENG,1. Premier League,4th,5,5,370,1,0,0,0,1,0,0.24,0.00
31,Cristiano Ronaldo,2002-2003,17,FW,Sporting CP,pt POR,1. Primeira Liga,3rd,25,11,"1,080",3,3,0,0,1,0,0.25,0.25
32,Cristiano Ronaldo,2003-2004,18,FW,Manchester Utd,eng ENG,1. Premiership,3rd,29,15,"1,548",4,7,0,0,4,1,0.23,0.41
33,Cristiano Ronaldo,2004-2005,19,FW,Manchester Utd,eng ENG,1. Premiership,3rd,33,25,"2,423",5,6,0,0,4,0,0.19,0.22
34,Cristiano Ronaldo,2005-2006,20,FW,Manchester Utd,eng ENG,1. Premiership,2nd,33,24,"2,286",9,6,0,0,8,1,0.35,0.24
35,Cristiano Ronaldo,2006-2007,21,FW,Manchester Utd,eng ENG,1. Premiership,1st,34,31,"2,794",17,13,3,4,2,0,0.55,0.42
36,Cristiano Ronaldo,2007-2008,22,FW,Manchester Utd,eng ENG,1. Premier League,1st,34,31,"2,747",31,6,4,5,5,1,1.02,0.20
37,Cristiano Ronaldo,2008-2009,23,FW,Manchester Utd,eng ENG,1. Premier League,1st,33,31,"2,743",18,6,4,4,6,1,0.59,0.20
38,Cristiano Ronaldo,2009-2010,24,FW,Real Madrid,es ESP,1. La Liga,2nd,29,28,"2,461",26,7,4,5,4,2,0.95,0.26
39,Cristiano Ronaldo,2010-2011,25,FW,Real Madrid,es ESP,1. La Liga,2nd,34,32,"2,914",40,9,8,8,2,0,1.24,0.28
40,Cristiano Ronaldo,2011-2012,26,FW,Real Madrid,es ESP,1. La Liga,1st,38,37,"3,350",46,12,12,13,4,0,1.24,0.32
41,Cristiano Ronaldo,2012-2013,27,FW,Real Madrid,es ESP,1. La Liga,2nd,34,30,"2,716",34,10,6,7,9,0,1.13,0.33
42,Cristiano Ronaldo,2013-2014,28,FW,Real Madrid,es ESP,1. La Liga,3rd,30,30,"2,534",31,9,6,6,4,1,1.10,0.32
43,Cristiano Ronaldo,2014-2015,29,FW,Real Madrid,es ESP,1. La Liga,2nd,35,35,"3,100",48,16,10,12,5,1,1.39,0.46
44,Cristiano Ronaldo,2015-2016,30,FW,Real Madrid,es ESP,1. La Liga,2nd,36,36,"3,182",35,11,6,9,3,0,0.99,0.31
45,Cristiano Ronaldo,2016-2017,31,FW,Real Madrid,es ESP,1. La Liga,1st,29,29,"2,537",25,6,6,7,4,0,0.89,0.21
46,Cristiano Ronaldo,2017-2018,32,FW,Real Madrid,es ESP,1. La Liga,3rd,27,27,"2,288",26,5,3,4,1,0,1.02,0.20
