,Rank,Player,Club(s),Season,Percent
0,1.0,Lionel Messi,Barcelona,2018-2019,24.360795454545457
1,2.0,Virgil van Dijk,Liverpool,2018-2019,24.11221590909091
2,3.0,Cristiano Ronaldo,Juventus,2018-2019,16.90340909090909
3,4.0,Sadio Mané,Liverpool,2018-2019,12.322443181818182
4,5.0,Mohamed Salah,Liverpool,2018-2019,6.3210227272727275
5,6.0,Kylian Mbappé,Paris Saint-Germain,2018-2019,3.1605113636363638
6,7.0,Alisson,Liverpool,2018-2019,2.3792613636363638
7,8.0,Robert Lewandowski,Bayern Munich,2018-2019,1.5625
8,9.0,Bernardo Silva,Manchester City,2018-2019,1.455965909090909
9,10.0,Riyad Mahrez,Manchester City,2018-2019,1.171875
10,11.0,Frenkie de Jong,Ajax Barcelona,2018-2019,1.1008522727272727
11,12.0,Raheem Sterling,Manchester City,2018-2019,1.065340909090909
12,13.0,Eden Hazard,Chelsea Real Madrid,2018-2019,0.8877840909090909
13,14.0,Kevin De Bruyne,Manchester City,2018-2019,0.4971590909090909
14,15.0,Matthijs de Ligt,Ajax Juventus,2018-2019,0.4616477272727273
15,16.0,Sergio Agüero,Manchester City,2018-2019,0.4261363636363636
16,17.0,Roberto Firmino,Liverpool,2018-2019,0.390625
17,18.0,Antoine Griezmann,Atlético Madrid Barcelona,2018-2019,0.31960227272727276
18,19.0,Trent Alexander-Arnold,Liverpool,2018-2019,0.2840909090909091
19,20.0,Pierre-Emerick Aubameyang,Arsenal,2018-2019,0.17755681818181818
20,20.0,Dušan Tadić,Ajax,2018-2019,0.17755681818181818
21,22.0,Son Heung-min,Tottenham Hotspur,2018-2019,0.14204545454545456
22,23.0,Hugo Lloris,Tottenham Hotspur,2018-2019,0.1065340909090909
23,24.0,Kalidou Koulibaly,Napoli,2018-2019,0.07102272727272728
24,24.0,Marc-André ter Stegen,Barcelona,2018-2019,0.07102272727272728
25,26.0,Karim Benzema,Real Madrid,2018-2019,0.03551136363636364
26,26.0,Georginio Wijnaldum,Liverpool,2018-2019,0.03551136363636364
27,28.0,João Félix,Benfica Atlético Madrid,2018-2019,0.0
28,28.0,Marquinhos,Paris Saint-Germain,2018-2019,0.0
29,28.0,Donny van de Beek,Ajax,2018-2019,0.0
30,1.0,Luka Modrić,Real Madrid,2017-2018,26.12768910478834
31,2.0,Cristiano Ronaldo,Real Madrid Juventus,2017-2018,16.585704371963914
32,3.0,Antoine Griezmann,Atlético Madrid,2017-2018,14.36502428868841
33,4.0,Kylian Mbappé,Paris Saint-Germain,2017-2018,12.040249826509369
34,5.0,Lionel Messi,Barcelona,2017-2018,9.715475364330327
35,6.0,Mohamed Salah,Liverpool,2017-2018,6.5232477446217905
